time,open,high,low,close,tick_volume,spread,real_volume
1483228800,12.2,13.28,12.13,12.37,1113911,0,5599193880000
1485907200,12.45,12.77,12.22,12.54,752382,0,3822877600000
1488326400,12.66,12.76,11.41,11.63,1006325,0,5265639980000
1491004800,11.64,11.71,11.08,11.48,953841,0,5087472480000
1493596800,11.49,11.55,10.67,11.11,1209151,0,6323192860000
1496275200,11.25,11.54,10.91,11.21,899243,0,5137042440000
1498867200,11.36,11.84,10.95,11.23,804643,0,4372697170000
1501545600,11.11,11.21,10.47,11.04,797604,0,4979932170000
1504224000,11.18,12.06,11.15,11.96,735341,0,3959902610000
1506816000,12.0,12.47,11.87,12.28,981566,0,5241035650000
1509494400,12.38,12.65,11.87,12.52,776057,0,3949803570000
1512086400,12.62,12.82,12.28,12.5,673195,0,3363962670000
1514764800,12.52,13.48,10.9,11.0,1275845,0,7392913410000
1517443200,10.95,11.04,10.19,10.61,1026771,0,5579777760000
1519862400,10.65,11.26,10.14,11.09,961830,0,4963221310000
1522540800,11.06,11.73,10.7,11.26,988067,0,5243961130000
1525132800,11.25,11.74,10.97,11.56,811475,0,4165835620000
1527811200,11.67,12.16,11.03,11.08,850564,0,4676310480000
1530403200,11.02,11.26,9.84,10.04,972172,0,5423574970000
1533081600,10.06,10.11,9.35,9.47,934552,0,5400362910000
1535760000,9.52,9.95,9.09,9.25,814231,0,4425908590000
1538352000,9.43,9.6,8.17,9.55,1274085,0,7766124510000
1541030400,9.37,9.81,8.96,9.41,910153,0,5015121200000
1543622400,9.71,9.85,7.41,7.66,983834,0,5670181970000
1546300800,7.53,9.07,7.48,8.81,1063769,0,5986104260000
1548979200,8.77,8.99,8.16,8.78,727800,0,4206757910000
1551398400,8.85,8.97,8.34,8.76,696464,0,4672459810000
1554076800,8.86,10.51,8.86,10.45,955898,0,6020640530000
1556668800,10.48,10.51,9.33,9.52,929902,0,5323085640000
1559347200,9.62,10.32,9.46,10.23,682890,0,4081297360000
1561939200,10.35,10.57,9.4,9.51,865709,0,5774307410000
1564617600,9.53,9.62,8.7,9.16,834561,0,4716005780000
1567296000,9.18,9.66,9.04,9.17,687308,0,4133153290000
1569888000,9.19,9.33,8.44,8.58,859493,0,5392799600000
1572566400,8.74,9.16,8.67,9.06,662445,0,4148466210000
1575158400,9.06,9.58,8.8,9.3,669667,0,4266126920000
1577836800,9.29,9.43,8.73,8.82,938833,0,6301563330000
1580515200,8.85,9.25,6.67,6.96,1401468,0,10601268650000
1583020800,7.12,7.34,4.0,4.84,2028503,0,14003939660000
1585699200,4.64,5.75,4.17,5.09,1785470,0,12504486740000
1588291200,5.02,6.09,4.52,5.72,1503203,0,12101764760000
1590969600,5.73,7.74,5.67,6.09,1715375,0,13807446220000
1593561600,6.06,7.07,5.74,6.61,1158655,0,10023619740000
1596240000,6.65,7.38,6.53,6.83,927558,0,7509003930000
1598918400,6.77,7.41,6.41,6.65,992873,0,8122329100000
1601510400,6.71,8.35,6.6,7.72,1090913,0,9126716280000
1604188800,7.83,9.51,7.63,9.09,1145131,0,9747432210000
1606780800,9.16,9.5,8.75,8.8,997778,0,7964666210000
1609459200,8.81,12.16,8.43,10.52,1754948,0,12742131230000
1612137600,10.63,12.41,10.36,11.71,1646722,0,9730259560000
1614556800,11.86,13.44,11.63,12.25,1674866,0,9269070490000
1617235200,12.28,12.99,11.14,11.54,1521207,0,8654694860000
1619827200,11.56,15.06,11.23,14.53,2112231,0,13388218850000
1622505600,14.72,16.46,14.44,14.86,2229727,0,12963578460000
1625097600,14.91,15.04,12.79,13.95,1566586,0,8465511460000
1627776000,14.02,14.33,12.38,13.05,1415682,0,8233924270000
1630454400,13.03,14.74,12.62,14.15,1567019,0,9823431310000
1633046400,14.26,17.58,13.89,17.08,1914554,0,11416395480000
1635724800,17.29,20.8,17.29,19.2,2494340,0,13692791680000
1638316800,19.63,21.48,18.61,20.77,2273825,0,12416854820000
1640995200,21.27,25.88,18.8,20.31,3770916,0,20051755810000
1643673600,20.61,21.05,15.95,17.55,2310496,0,12269025700000
1646092800,17.41,18.25,15.51,16.92,2059738,0,11238974880000
